Tree,Row,Node,MaxLevel,Level,Gold,Food,Iron,Valor,Oil,Prerequisite,HaveIt,Priority,Notes
Alliance Duel,1,Incentive - Radar,10,1,0,0,0,50,0,None,1,S,Free points on radar days
Alliance Duel,1,Incentive - Radar,10,2,0,0,0,50,0,None,1,S,
Alliance Duel,1,Incentive - Radar,10,3,0,0,0,50,0,None,1,S,
Alliance Duel,1,Incentive - Radar,10,4,0,0,0,50,0,None,1,S,
Alliance Duel,1,Incentive - Radar,10,5,0,0,0,50,0,None,1,S,
Alliance Duel,1,Incentive - Radar,10,6,0,0,0,100,0,None,1,S,Lvl 6 unlocks Advanced Rewards
Alliance Duel,1,Incentive - Radar,10,7,0,0,0,100,0,None,1,B,
Alliance Duel,1,Incentive - Radar,10,8,0,0,0,200,0,None,1,B,
Alliance Duel,1,Incentive - Radar,10,9,0,0,0,200,0,None,1,B,
Alliance Duel,1,Incentive - Radar,10,10,0,0,0,350,0,None,1,C,Total: 1200 Valor
Alliance Duel,1,Incentive - Speed-up,10,1,0,0,0,50,0,None,1,B,
Alliance Duel,1,Incentive - Speed-up,10,2,0,0,0,50,0,None,1,B,
Alliance Duel,1,Incentive - Speed-up,10,3,0,0,0,50,0,None,1,B,
Alliance Duel,1,Incentive - Speed-up,10,4,0,0,0,50,0,None,1,B,
Alliance Duel,1,Incentive - Speed-up,10,5,0,0,0,50,0,None,1,B,
Alliance Duel,1,Incentive - Speed-up,10,6,0,0,0,100,0,None,1,C,
Alliance Duel,1,Incentive - Speed-up,10,7,0,0,0,100,0,None,0,C,
Alliance Duel,1,Incentive - Speed-up,10,8,0,0,0,200,0,None,0,C,
Alliance Duel,1,Incentive - Speed-up,10,9,0,0,0,200,0,None,0,C,
Alliance Duel,1,Incentive - Speed-up,10,10,0,0,0,350,0,None,0,C,Total: 1200 Valor
Alliance Duel,1,Incentive - Recruitment,10,1,0,0,0,50,0,None,1,B,
Alliance Duel,1,Incentive - Recruitment,10,2,0,0,0,50,0,None,1,B,
Alliance Duel,1,Incentive - Recruitment,10,3,0,0,0,50,0,None,1,B,
Alliance Duel,1,Incentive - Recruitment,10,4,0,0,0,50,0,None,1,B,
Alliance Duel,1,Incentive - Recruitment,10,5,0,0,0,50,0,None,1,B,
Alliance Duel,1,Incentive - Recruitment,10,6,0,0,0,100,0,None,1,C,
Alliance Duel,1,Incentive - Recruitment,10,7,0,0,0,100,0,None,0,C,
Alliance Duel,1,Incentive - Recruitment,10,8,0,0,0,200,0,None,0,C,
Alliance Duel,1,Incentive - Recruitment,10,9,0,0,0,200,0,None,0,C,
Alliance Duel,1,Incentive - Recruitment,10,10,0,0,0,350,0,None,0,C,Total: 1200 Valor
Alliance Duel,2,Advanced Rewards,1,1,0,0,0,100,0,Incentive - Radar Lv6,1,S,Unlocks Tier 2 reward boxes
Alliance Duel,3,Duel Expert,20,1,0,0,0,100,0,Advanced Rewards Lv1,1,S,DOUBLES all VS points! #1 priority
Alliance Duel,3,Duel Expert,20,2,0,0,0,100,0,None,1,S,
Alliance Duel,3,Duel Expert,20,3,0,0,0,100,0,None,1,S,
Alliance Duel,3,Duel Expert,20,4,0,0,0,100,0,None,1,S,
Alliance Duel,3,Duel Expert,20,5,0,0,0,100,0,None,1,S,
Alliance Duel,3,Duel Expert,20,6,0,0,0,100,0,None,1,S,
Alliance Duel,3,Duel Expert,20,7,0,0,0,100,0,None,1,S,
Alliance Duel,3,Duel Expert,20,8,0,0,0,100,0,None,1,S,
Alliance Duel,3,Duel Expert,20,9,0,0,0,200,0,None,1,S,
Alliance Duel,3,Duel Expert,20,10,0,0,0,200,0,None,1,S,
Alliance Duel,3,Duel Expert,20,11,0,0,0,200,0,None,1,S,
Alliance Duel,3,Duel Expert,20,12,0,0,0,200,0,None,1,S,
Alliance Duel,3,Duel Expert,20,13,0,0,0,200,0,None,1,S,
Alliance Duel,3,Duel Expert,20,14,0,0,0,200,0,None,1,S,
Alliance Duel,3,Duel Expert,20,15,0,0,0,200,0,None,1,S,
Alliance Duel,3,Duel Expert,20,16,0,0,0,200,0,None,1,S,
Alliance Duel,3,Duel Expert,20,17,0,0,0,350,0,None,1,S,
Alliance Duel,3,Duel Expert,20,18,0,0,0,350,0,None,1,S,
Alliance Duel,3,Duel Expert,20,19,0,0,0,350,0,None,1,S,
Alliance Duel,3,Duel Expert,20,20,0,0,0,350,0,None,1,S,Total: 3800 Valor. Required for Super Bonus
Alliance Duel,4,Incentive - Building,10,1,0,0,0,100,0,Duel Expert Lv1,1,A,Boosts Tue VS points
Alliance Duel,4,Incentive - Building,10,2,0,0,0,100,0,None,1,A,
Alliance Duel,4,Incentive - Building,10,3,0,0,0,200,0,None,1,A,
Alliance Duel,4,Incentive - Building,10,4,0,0,0,200,0,None,1,A,
Alliance Duel,4,Incentive - Building,10,5,0,0,0,350,0,None,1,A,
Alliance Duel,4,Incentive - Building,10,6,0,0,0,450,0,None,1,A,Lvl 6 needed for Super Bonus path
Alliance Duel,4,Incentive - Building,10,7,0,0,0,750,0,None,0,B,
Alliance Duel,4,Incentive - Building,10,8,0,0,0,1050,0,None,0,C,
Alliance Duel,4,Incentive - Building,10,9,0,0,0,1400,0,None,0,C,
Alliance Duel,4,Incentive - Building,10,10,0,0,0,1750,0,None,0,D,Total: 6350 Valor
Alliance Duel,4,Incentive - Research,10,1,0,0,0,100,0,Duel Expert Lv1,1,A,Boosts Wed VS points
Alliance Duel,4,Incentive - Research,10,2,0,0,0,100,0,None,1,A,
Alliance Duel,4,Incentive - Research,10,3,0,0,0,200,0,None,1,A,
Alliance Duel,4,Incentive - Research,10,4,0,0,0,200,0,None,1,A,
